record_id,citation_key,doi_or_url,screening_status,exclusion_reason,source_model,target_model,transformation_type,exactness,model_scope,phase_neutral_ground_scope,multi_terminal_scope,preserved_observations,retained_constraints,decision_scope,recovery_map,provenance_map,evidence_type,implementation,limitations,reviewer,review_date,coding_status,notes
"EV-0001","Molzahn2018","https://doi.org/10.1109/TPWRS.2018.2816807","include","","scalar AC pi-line models with individual apparent-power or current limits on parallel members","same line models with certified redundant member flow-limit constraints removed","other","exact","two-terminal scalar phasor transmission lines sharing both endpoint voltages; fixed complex transformer ratios and shunts allowed","positive-sequence or scalar; neutral and ground not modeled","two-terminal parallel lines only","terminal-voltage feasible set and any objective on unchanged variables","all nonredundant limits; redundancy must hold at both line terminals","generic optimization feasibility; no switching, outage, investment, or contingency decision analyzed","none required because line states remain; only implied constraints are deleted","line identities and parameters retained; no aggregation or provenance map proposed","mixed","Algorithms 1 and 2 in pseudocode; MATPOWER/MIPS timing study; no public code identified in the paper","pairwise sufficient identification for common-centered scalar voltage ellipsoids or cylinders; does not address arbitrary multiconductor sets, independent states, or asset aggregation","","2026-08-13","single_coded","Full text supplied by user; Table I reports redundant limits and OPF timing for Polish and PEGASE cases"
"EV-0002","Grudzien2018","https://doi.org/10.1137/17M1138054","include","","multiscale power-grid graph with hierarchical lines, trees, and triangular subnetworks","iteratively Kron-reduced or power-flow-equivalent reduced network","other","unclassified","lossless inductive steady-state regime with graph-aware reference selection and coherent-subnetwork aggregation","phase and neutral treatment not reported in the abstract; transmission/distribution scales are discussed","general graph reductions; arbitrary multi-terminal device scope not reported","power-flow equivalence for the declared reductions and downstream swing-equation use in the lossless regime","network equations and topology are reduced; explicit operational limits and asset identities are not the focus","simulation and follow-up estimation/control; no explicit decision-preservation certificate","subsequences of the ordered reduction sequence can be inverted to intermediate resolutions","ordered reduction sequence and graph-aware selection are retained; detailed asset provenance is not reported","mixed","iterative Kron and graph-based aggregation algorithms; arXiv full text available","different reduction steps have different equivalence meanings; global nonlinear, multiconductor, and decision-preservation claims are outside the declared scope","","2026-08-14","single_coded","Abstract and arXiv record checked; seed coding for the planned scoping review"
"EV-0003","MokhtariRadial2025","https://arxiv.org/abs/2508.15006","include","","radial distribution network admittance and representative AC loading scenarios","structure-preserving optimal Kron-reduced radial network with recovered nodes for radiality","approximate_reduction","outer","533-bus test system and 3499-bus utility feeder; representative loading scenarios and linearized voltage-error bounds","distribution-network setting; detailed conductor/neutral treatment not reported in the abstract","radial multi-bus networks; arbitrary multi-terminal device scope not reported","reduced-network voltage magnitudes and radial structure under the declared scenarios","linearized voltage-error bound and radiality-restoration step are retained in the optimization model","optimal reduction and voltage-control runtime study; no claim of exact nonlinear OPF equivalence","recovered nodes restore radiality; full state/asset recovery map is not specified in the abstract","selected nodes and radiality-restoration decisions are retained; field-level asset provenance is not reported","mixed","mixed-integer reduction with cutting planes, tightened Big-M bounds, and scenario validation","scenario and linearized-error guarantees are not global nonlinear guarantees; external implementation and full-text coding remain to be checked","","2026-08-14","single_coded","arXiv v2 record checked; abstract reports 85% and 94% reductions with stated voltage-error bounds"
"EV-0004","CGMESLibrary","https://eepublicdownloads.entsoe.eu/clean-documents/CIM_documents/Grid_Model_CIM/CGM%20BUILDING%20PROCESS%20IMPLEMENTATION_GUIDE_v2.0.pdf","include","","CIM connectivity nodes, terminals, equipment, switch statuses, and profiles","topological nodes and topological islands produced by state-dependent topology processing","topology_quotient","exact","CGMES topology processing with closed-switch and zero-impedance connectivity rules; profile/version semantics must be declared","CIM/CGMES terminal and connectivity semantics; conductor-level neutral treatment depends on the profile and model","node-breaker and bus-branch topology views; equipment may be retained or compiled","topological-node connectivity and power-flow bus structure after topology processing","switch state, equipment status, and mapping back from processed topology must be retained","power-flow topology processing; no OPF decision-preservation claim","mapping from connectivity nodes and closed switches to topological nodes is required; reverse mapping is part of the processing architecture","connectivity-node and topological-node identities are distinct and state-dependent","standard","official CGM Building Process Implementation Guide v2.0; topology processor and switch-status workflow","topological-node creation is a derived view, not a replacement for equipment identity; CGMES profile/version differences remain material","","2026-08-14","single_coded","Official ENTSO-E guide checked at pages 16 and 85-89; seed coding for the planned scoping review"
"EV-0005","HoRuehliBrennan1975","https://doi.org/10.1109/TCS.1975.1084079","include","","linear circuit elements including ideal voltage sources and current-controlled branches","modified nodal equation system with node voltages and selected branch currents","compilation","exact","general linear circuit formulation for the declared element classes","not a power-system asset or conductor model","multi-terminal scope is represented through selected branch variables rather than an ordinary Y-bus graph","node voltages, source constraints, and selected branch currents","element equations are retained in the augmented system","circuit analysis and simulation; no power-network decision preservation claim","augmented current variables provide the recovery relation","source-element roles are retained in the formulation, but utility asset provenance is outside the paper's scope","derivation","IEEE paper; formulation precedent","does not supply the book's asset, grounding, or OPF preservation contract","","2026-08-15","single_coded","Primary formulation precedent added for the circuit-formulation tranche"
"EV-0006","HachtelBraytonGustavson1971","https://doi.org/10.1109/TCT.1971.1083223","include","","network branches and device equations represented at branch level","sparse tableau system with fixed sparsity structure and explicit equation variables","compilation","exact","linear and dynamic network-analysis/design setting with branch-level equations","not a power-system conductor/neutral scope","multi-terminal and branch-variable structure is natural; ordinary nodal projection is optional","branch-level equations and selected variables with sparse coefficient structure","device/branch relations remain explicit until an elimination is chosen","network analysis and design; no modern OPF decision-preservation claim","tableau variables and equation lineage are retained by construction","asset identity and operational limits are not the paper's stated focus","derivation","IEEE paper; sparse tableau precedent","historical circuit scope; power-network semantic and provenance guards must be added separately","","2026-08-15","single_coded","Primary sparse-tableau precedent added for the circuit-formulation tranche"
"EV-0007","ParkHolzerDeMarco2019","https://doi.org/10.1109/TPWRS.2018.2869705","include","","node-breaker power-network models with multi-port elements and breaker actions","sparse tableau OPF constraints retaining component equations and breaker variables","compilation","exact","security-constrained ACOPF node-breaker representation under the declared component models and states","power-system network; detailed phase/neutral scope depends on the component library","multi-port and node-breaker models are explicit; fixed Ybus would require state-dependent rebuilding","network equations, breaker actions, and component-level OPF constraints","breaker states and monitored component constraints remain represented","security-constrained ACOPF; computational comparisons rather than universal formulation equivalence","component variables and state constraints provide the recovery/lifting path","paper does not establish the book's full asset/provenance or multiconductor generality","mixed","IEEE Transactions on Power Systems; sparse-tableau node-breaker formulation","scope is node-breaker SCACOPF and does not prove all general power-network formulation claims","","2026-08-15","single_coded","Power-system precedent directly motivating the formulation-aware lowering boundary"
"EV-0008","BaezFong2018","https://doi.org/10.48550/arXiv.1504.05625","include","","passive linear networks described compositionally by ports and internal wiring","black-box external behavior of the composed network","compilation","exact","compositional passive linear circuit category with declared boundary ports","no utility phase/neutral/ground or asset-lifecycle semantics","arbitrary port composition and multi-terminal boundary behavior","external port relation/behavior","internal wiring is hidden behind the black-box map; operational limits are outside the framework","behavioral composition and boundary equivalence; no OPF decision scope","boundary behavior is the intended recovery object, not an asset decomposition","physical circuit syntax is retained in the source category but utility provenance is outside scope","derivation","compositional black-box construction and mathematical examples","does not encode utility identity, switching policy, or member-level limits","","2026-08-15","single_coded","Foundational port-composition precedent for the selected electrical source model"
"EV-0009","vanderSchaftMaschke2013","https://doi.org/10.1137/110840091","include","","port-Hamiltonian systems on graphs with energy and interconnection structure","graph-based port-Hamiltonian system representation and interconnection equations","compilation","exact","finite port-Hamiltonian graph systems with declared energy, port, and interconnection maps","no utility phase/neutral/ground or asset data contract","multi-port interconnection and energy exchange are native; ordinary edges are not required for every relation","energy balance, port variables, and interconnection structure","device-specific constraints and power-system asset identity are not the focus","dynamic/control-system modeling; no power-network OPF decision scope","port and energy variables remain explicit in the system representation","utility construction, protection, and provenance semantics are outside scope","derivation","graph-based port-Hamiltonian formulation","does not establish the book's power-network canonicality or decision-preservation claims","","2026-08-15","single_coded","Alternative compositional framework retained as related, not selected as the sole source model"
"EV-0010","Ehrig2006","https://doi.org/10.1007/3-540-31188-2","include","","typed attributed graphs and graph-transformation rules","matched/re-written typed graphs with application conditions and composition vocabulary","compilation","unclassified","algebraic graph-transformation framework with typed objects, matches, and rewrite conditions","not power-system specific","arbitrary typed graph relations and negative application conditions; power-system factor semantics must be supplied by an application model","declared graph structure and rule application conditions","semantic behavior, constraints, and asset meaning require domain-specific typing and relations","formal transformation theory; no power-network decision scope","rule traces and matching context support provenance when an application defines them","does not provide the book's electrical equations, grounding, limits, or utility data semantics","proof","book-length formal graph-transformation framework","the book uses the vocabulary and guards but does not claim a completed DPO implementation","","2026-08-15","single_coded","Formal-methods precedent for the transformation-register vocabulary"
