"record_id","citation_key","primary_screening_status","primary_transformation_type","primary_exactness","primary_exactness_object","primary_review_basis","second_screening_status","second_transformation_type","second_exactness","second_exactness_object","second_reviewer","second_review_date","resolution_status","resolution_note"
"EV-0029","Nanopass2005","exclude","other","not_reported","not_applicable","primary_coding","","","","","","","pending",""
"EV-0023","GanLowMultiphase2014","include","other","unclassified","representation_definition","primary_coding","","","","","","","pending",""
"EV-0024","CaliskanTabuada2014","include","exact_behavioral_reduction","exact","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0025","Coppo2017","include","compilation","exact","equation_identity","primary_coding","","","","","","","pending",""
"EV-0026","Pecenak2018","include","approximate_reduction","scenario_approximate","observation_sample","primary_coding","","","","","","","pending",""
"EV-0027","Sistermanns2019","include","approximate_reduction","scenario_approximate","observation_sample","primary_coding","","","","","","","pending",""
"EV-0028","Mokhtari2027","include","approximate_reduction","scenario_approximate","observation_sample","primary_coding","","","","","","","pending",""
"EV-0022","GanLowChordal2014","include","other","outer","feasible_set","primary_coding","","","","","","","pending",""
"EV-0001","Molzahn2018","include","other","exact","feasible_set","primary_coding","","","","","","","pending",""
"EV-0002","Grudzien2018","include","approximate_reduction","unclassified","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0003","MokhtariRadial2025","include","approximate_reduction","scenario_approximate","observation_sample","primary_coding","","","","","","","pending",""
"EV-0004","CGMESLibrary","include","topology_quotient","exact","connectivity_view","primary_coding","","","","","","","pending",""
"EV-0005","HoRuehliBrennan1975","include","compilation","exact","equation_identity","primary_coding","","","","","","","pending",""
"EV-0006","HachtelBraytonGustavson1971","include","compilation","exact","equation_identity","primary_coding","","","","","","","pending",""
"EV-0007","ParkHolzerDeMarco2019","include","compilation","exact","equation_identity","primary_coding","","","","","","","pending",""
"EV-0008","BaezFong2018","include","exact_behavioral_reduction","exact","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0009","vanderSchaftMaschke2013","include","other","unclassified","representation_definition","primary_coding","","","","","","","pending",""
"EV-0010","Ehrig2006","include","other","unclassified","representation_definition","primary_coding","","","","","","","pending",""
"EV-0011","PowsyblTopology","include","topology_quotient","exact","connectivity_view","primary_coding","","","","","","","pending",""
"EV-0012","PMDConversion","include","compilation","unclassified","equation_identity","primary_coding","","","","","","","pending",""
"EV-0013","OpenDSSReduction","include","approximate_reduction","unclassified","observation_sample","primary_coding","","","","","","","pending",""
"EV-0014","MATPOWERDataModel","include","compilation","unclassified","representation_definition","primary_coding","","","","","","","pending",""
"EV-0015","Ward1949","include","approximate_reduction","scenario_approximate","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0016","Monticelli1979","include","approximate_reduction","scenario_approximate","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0017","Machowski1988","include","approximate_reduction","scenario_approximate","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0018","DorflerBullo2013","include","exact_behavioral_reduction","exact","boundary_behavior","primary_coding","","","","","","","pending",""
"EV-0019","Jang2013","include","approximate_reduction","scenario_approximate","feasible_set","primary_coding","","","","","","","pending",""
"EV-0020","CurtisMorrow2000","include","other","unclassified","representation_definition","primary_coding","","","","","","","pending",""
"EV-0021","KettnerPaolone2019","include","compilation","exact","equation_identity","primary_coding","","","","","","","pending",""
